Participant,Age,Sex,Handedness,Condition,Cue,SOA,Resp,RT,Q1.Awareness,Q2.PAS,Q3.Surprise,MergedConds,MainConds,outlier
1,22,female,right,16,No,150,2,585,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA150_NoCue_1Horiz,NoCue,NO
1,22,female,right,3,No,83,2,1984,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_NoCue_1Horiz,NoCue,NO
1,22,female,right,1,No,217,2,546,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA217_NoCue_1Horiz,NoCue,NO
1,22,female,right,31,Right,-83,8,594,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_Incongr_1Vert,Vert1st,NO
1,22,female,right,6,No,-217,8,411,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA217_NoCue_1Vert,NoCue,NO
1,22,female,right,7,No,-150,8,622,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA150_NoCue_1Vert,NoCue,NO
1,22,female,right,35,Left,150,2,632,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA150_Incongr_1Horiz,Horiz1st,NO
1,22,female,right,26,Left,-83,2,645,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_Incongr_1Vert,Vert1st,NO
1,22,female,right,7,No,-150,8,477,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA150_NoCue_1Vert,NoCue,NO
1,22,female,right,16,No,150,2,589,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA150_NoCue_1Horiz,NoCue,NO
